,Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Promos_Total,Age,Dependants,Has_minor,Partner,House_members,Income_per_members,Total_spent
26,Graduate,38360.0,1,0,1 Mes,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,0,Adultos,1,1,0,2,19180.0,131
27,Postgraduate,84618.0,0,0,> 3 Meses,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,1,Meia-idade,0,0,0,1,84618.0,1672
28,Postgraduate,10979.0,0,0,2 Meses,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,0,Adultos,0,0,0,1,10979.0,30
29,Postgraduate,38620.0,0,0,2 Meses,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,Meia-idade,0,0,1,2,19310.0,318
30,Graduate,40548.0,0,1,2 Meses,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,1,Meia-idade,1,1,1,3,13516.0,120
31,Postgraduate,46610.0,0,2,1 Mes,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,0,Idosos,2,1,0,3,15536.666666666666,302
32,Postgraduate,68657.0,0,0,1 Mes,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,0,Idosos,0,0,0,1,68657.0,1196
33,Postgraduate,49389.0,1,1,2 Meses,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,0,Idosos,2,1,1,4,12347.25,65
34,Postgraduate,67353.0,0,1,2 Meses,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,0,Meia-idade,1,1,0,2,33676.5,913
35,Undergraduate,23718.0,1,0,3 Meses,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,0,Adultos,1,1,0,2,11859.0,81
36,Graduate,42429.0,0,1,> 3 Meses,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,0,Meia-idade,1,1,0,2,21214.5,67
37,Postgraduate,48948.0,0,0,2 Meses,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,1,Idosos,0,0,0,1,48948.0,902
38,Graduate,80011.0,0,1,1 Mes,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,0,Adultos,1,1,0,2,40005.5,1395
39,Postgraduate,20559.0,1,0,3 Meses,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,0,Adultos,1,1,0,2,10279.5,53
40,Graduate,21994.0,0,1,1 Mes,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,0,Idosos,1,1,1,3,7331.333333333333,22
41,Postgraduate,7500.0,1,0,1 Mes,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,0,Meia-idade,1,1,0,2,3750.0,31
42,Graduate,79941.0,0,0,3 Meses,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,0,Adultos,0,0,1,2,39970.5,984
43,Undergraduate,7500.0,0,0,1 Mes,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,0,Adultos,0,0,0,1,7500.0,122
44,Graduate,41728.0,1,0,> 3 Meses,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,0,Meia-idade,1,1,1,3,13909.333333333334,55
45,Postgraduate,72550.0,1,1,2 Meses,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,0,Idosos,2,1,0,3,24183.333333333332,1319
46,Graduate,65486.0,0,1,1 Mes,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,0,Idosos,1,1,0,2,32743.0,507
47,Postgraduate,79143.0,0,0,1 Mes,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,0,Meia-idade,0,0,0,1,79143.0,1693
48,Graduate,35790.0,1,0,2 Meses,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,0,Adultos,1,1,1,3,11930.0,72
49,Graduate,82582.0,0,0,2 Meses,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,2,Adultos,0,0,0,1,82582.0,1617
50,Graduate,66373.0,1,1,2 Meses,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,0,Adultos,2,1,0,3,22124.333333333332,606
51,Postgraduate,82384.0,0,0,2 Meses,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,1,Idosos,0,0,1,2,41192.0,1957
52,Graduate,70287.0,0,0,1 Mes,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,0,Meia-idade,0,0,0,1,70287.0,1093
53,Graduate,27938.0,1,0,2 Meses,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,0,Adultos,1,1,1,3,9312.666666666666,29
54,Postgraduate,55954.0,0,1,3 Meses,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,0,Meia-idade,1,1,0,2,27977.0,518
55,Postgraduate,75777.0,0,0,1 Mes,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,2,Adultos,0,0,1,2,37888.5,1438
56,Graduate,66653.0,1,1,1 Mes,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,0,Meia-idade,2,1,1,4,16663.25,612
57,Graduate,61823.0,0,1,1 Mes,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,0,Idosos,1,1,1,3,20607.666666666668,884
58,Postgraduate,67680.0,0,1,1 Mes,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,0,Idosos,1,1,0,2,33840.0,606
59,Graduate,70666.0,0,0,1 Mes,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,0,Idosos,0,0,1,2,35333.0,1076
60,Graduate,25721.0,1,0,3 Meses,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,0,Meia-idade,1,1,0,2,12860.5,34
61,Graduate,32474.0,1,1,1 Mes,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,0,Meia-idade,2,1,1,4,8118.5,11
62,Undergraduate,88194.0,0,1,1 Mes,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,2,Adultos,1,1,1,3,29398.0,1274
63,Graduate,69096.0,0,1,1 Mes,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,0,Idosos,1,1,1,3,23032.0,653
64,Graduate,74854.0,1,2,3 Meses,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,0,Meia-idade,3,1,1,5,14970.8,1562
65,Postgraduate,66991.0,0,0,1 Mes,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,0,Idosos,0,0,0,1,66991.0,1253
66,Graduate,65031.0,0,1,1 Mes,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,0,Idosos,1,1,0,2,32515.5,863
67,Postgraduate,60631.0,1,1,3 Meses,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,1,Meia-idade,2,1,0,3,20210.333333333332,661
68,Graduate,28332.0,0,0,2 Meses,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,0,Idosos,0,0,0,1,28332.0,65
69,Graduate,40246.0,1,0,3 Meses,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,0,Adultos,1,1,0,2,20123.0,13
70,Postgraduate,75251.0,0,0,2 Meses,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,0,Meia-idade,0,0,0,1,75251.0,1890
71,Graduate,75825.0,0,0,2 Meses,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,1,Adultos,0,0,1,2,37912.5,2209
72,Undergraduate,26326.0,0,0,1 Mes,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,0,Adultos,0,0,1,2,13163.0,18
73,Graduate,56046.0,0,0,1 Mes,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,1,Meia-idade,0,0,1,2,28023.0,692
74,Graduate,29760.0,1,0,3 Meses,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,0,Adultos,1,1,1,3,9920.0,165
75,Graduate,26304.0,1,0,1 Mes,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,0,Meia-idade,1,1,0,2,13152.0,16
76,Undergraduate,23559.0,1,0,3 Meses,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,0,Meia-idade,1,1,0,2,11779.5,79
77,Postgraduate,38620.0,0,0,2 Meses,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,Meia-idade,0,0,1,2,19310.0,318
78,Graduate,81361.0,0,0,1 Mes,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,0,Adultos,0,0,0,1,81361.0,778
79,Graduate,29440.0,1,1,> 3 Meses,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,0,Idosos,2,1,0,3,9813.333333333334,56
80,Postgraduate,36138.0,1,1,2 Meses,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,1,Meia-idade,2,1,0,3,12046.0,151
81,Graduate,50388.0,0,1,1 Mes,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,2,Idosos,1,1,1,3,16796.0,372
82,Graduate,79593.0,0,0,3 Meses,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,1,Meia-idade,0,0,0,1,79593.0,1366
83,Graduate,54178.0,0,1,3 Meses,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,0,Meia-idade,1,1,1,3,18059.333333333332,194
84,Postgraduate,42394.0,1,0,3 Meses,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,0,Meia-idade,1,1,1,3,14131.333333333334,32
85,Postgraduate,23626.0,1,0,3 Meses,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,0,Meia-idade,1,1,0,2,11813.0,43
86,Graduate,30096.0,1,0,1 Mes,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,0,Adultos,1,1,0,2,15048.0,45
87,Graduate,47916.0,0,1,3 Meses,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,1,Idosos,1,1,0,2,23958.0,606
88,Graduate,51813.0,1,1,2 Meses,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,0,Meia-idade,2,1,0,3,17271.0,63
89,Undergraduate,78497.0,0,0,2 Meses,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,1,Idosos,0,0,0,1,78497.0,978
90,Postgraduate,50150.0,0,0,2 Meses,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,0,Adultos,0,0,0,1,50150.0,410
91,Undergraduate,47823.0,0,1,1 Mes,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,0,Idosos,1,1,1,3,15941.0,72
92,Postgraduate,34554.0,0,1,2 Meses,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,0,Idosos,1,1,1,3,11518.0,55
93,Graduate,85693.0,0,1,2 Meses,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,0,Adultos,1,1,1,3,28564.333333333332,1169
94,Postgraduate,65846.0,0,0,3 Meses,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,0,Idosos,0,0,0,1,65846.0,1120
95,Graduate,87195.0,0,0,2 Meses,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,0,Idosos,0,0,0,1,87195.0,1097
96,Undergraduate,24594.0,1,0,> 3 Meses,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,0,Adultos,1,1,1,3,8198.0,29
97,Graduate,49096.0,1,1,1 Mes,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,0,Meia-idade,2,1,0,3,16365.333333333334,187
98,Graduate,52413.0,0,2,2 Meses,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,0,Meia-idade,2,1,0,3,17471.0,910
99,Graduate,38557.0,1,0,1 Mes,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,0,Adultos,1,1,1,3,12852.333333333334,145
100,Postgraduate,89058.0,0,0,1 Mes,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,0,Idosos,0,0,0,1,89058.0,850
101,Graduate,77298.0,0,1,2 Meses,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,0,Adultos,1,1,1,3,25766.0,969
102,Postgraduate,68126.0,0,0,2 Meses,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,1,Adultos,0,0,1,2,34063.0,1820
103,Postgraduate,57288.0,0,1,1 Mes,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,1,Meia-idade,1,1,1,3,19096.0,608
104,Graduate,86037.0,0,0,> 3 Meses,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,2,Adultos,0,0,1,2,43018.5,730
105,Postgraduate,43974.0,1,0,1 Mes,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,0,Adultos,1,1,0,2,21987.0,551
106,Graduate,50785.0,1,1,1 Mes,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,0,Meia-idade,2,1,1,4,12696.25,114
107,Graduate,90765.0,0,0,1 Mes,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,2,Meia-idade,0,0,0,1,90765.0,1724
108,Undergraduate,36550.0,1,0,3 Meses,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,0,Adultos,1,1,0,2,18275.0,577
109,Undergraduate,30753.0,1,1,3 Meses,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,0,Meia-idade,2,1,1,4,7688.25,81
110,Graduate,21918.0,1,0,2 Meses,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,0,Meia-idade,1,1,1,3,7306.0,33
111,Postgraduate,56129.0,0,1,3 Meses,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,0,Idosos,1,1,1,3,18709.666666666668,660
112,Postgraduate,32557.0,1,0,1 Mes,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,0,Meia-idade,1,1,1,3,10852.333333333334,80
113,Postgraduate,19510.0,2,0,3 Meses,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,0,Adultos,2,1,0,3,6503.333333333333,30
114,Graduate,30992.0,1,0,3 Meses,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,0,Adultos,1,1,0,2,15496.0,43
115,Graduate,101970.0,0,0,3 Meses,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,3,Adultos,0,0,1,2,50985.0,1135
116,Undergraduate,71488.0,0,0,3 Meses,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,0,Meia-idade,0,0,1,2,35744.0,559
117,Graduate,79607.0,0,0,2 Meses,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,0,Adultos,0,0,1,2,39803.5,1923
118,Postgraduate,54348.0,1,1,2 Meses,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,0,Idosos,2,1,0,3,18116.0,90
119,Postgraduate,77376.0,1,1,3 Meses,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,0,Idosos,2,1,1,4,19344.0,661
120,Graduate,62998.0,0,1,1 Mes,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,0,Idosos,1,1,0,2,31499.0,463
121,Postgraduate,61331.0,1,1,2 Meses,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,0,Idosos,2,1,0,3,20443.666666666668,632
122,Graduate,73448.0,0,0,1 Mes,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,0,Meia-idade,0,0,0,1,73448.0,725
123,Postgraduate,41551.0,1,1,2 Meses,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,0,Meia-idade,2,1,0,3,13850.333333333334,279
124,Postgraduate,62981.0,0,0,1 Mes,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,1,Meia-idade,0,0,1,2,31490.5,1482
125,Undergraduate,9548.0,1,0,2 Meses,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,0,Adultos,1,1,0,2,4774.0,29
126,Postgraduate,33762.0,2,1,3 Meses,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,0,Idosos,3,1,0,4,8440.5,106
127,Postgraduate,35860.0,1,1,2 Meses,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,1,Meia-idade,2,1,0,3,11953.333333333334,49
128,Postgraduate,36921.0,1,1,3 Meses,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,0,Meia-idade,2,1,0,3,12307.0,38
129,Postgraduate,92859.0,0,0,2 Meses,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,0,Adultos,0,0,1,2,46429.5,2077
130,Postgraduate,65104.0,0,1,1 Mes,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,0,Adultos,1,1,1,3,21701.333333333332,1053
131,Graduate,86111.0,0,0,3 Meses,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,0,Meia-idade,0,0,0,1,86111.0,1385
132,Postgraduate,68352.0,0,1,2 Meses,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,0,Meia-idade,1,1,1,3,22784.0,871
133,Graduate,41883.0,1,0,1 Mes,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,0,Adultos,1,1,1,3,13961.0,312
134,Graduate,59809.0,0,2,2 Meses,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,0,Adultos,2,1,0,3,19936.333333333332,877
135,Graduate,23957.0,1,0,2 Meses,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,0,Meia-idade,1,1,0,2,11978.5,68
136,Graduate,38547.0,1,0,2 Meses,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,0,Adultos,1,1,1,3,12849.0,22
137,Undergraduate,35688.0,2,1,> 3 Meses,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,0,Meia-idade,3,1,0,4,8922.0,211
138,Postgraduate,49605.0,0,0,3 Meses,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,0,Meia-idade,0,0,0,1,49605.0,127
139,Postgraduate,59354.0,0,2,2 Meses,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,0,Idosos,2,1,0,3,19784.666666666668,459
140,Graduate,65747.0,0,1,> 3 Meses,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,1,Meia-idade,1,1,0,2,32873.5,460
141,Undergraduate,46344.0,0,1,1 Mes,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,0,Meia-idade,1,1,1,3,15448.0,429
142,Graduate,34176.0,1,0,1 Mes,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,0,Adultos,1,1,0,2,17088.0,89
143,Postgraduate,61010.0,0,1,2 Meses,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,0,Idosos,1,1,1,3,20336.666666666668,1021
144,Graduate,69372.0,0,0,1 Mes,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,2,Idosos,0,0,1,2,34686.0,1381
145,Graduate,49967.0,0,1,1 Mes,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,0,Idosos,1,1,1,3,16655.666666666668,306
146,Graduate,60199.0,1,2,2 Meses,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,Adultos,3,1,1,5,12039.8,18
147,Graduate,55375.0,0,1,1 Mes,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,0,Adultos,1,1,1,3,18458.333333333332,162
148,Graduate,80317.0,0,0,3 Meses,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,0,Idosos,0,0,1,2,40158.5,1231
149,Postgraduate,30523.0,2,1,1 Mes,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,0,Idosos,3,1,1,5,6104.6,13
150,Postgraduate,70356.0,0,0,1 Mes,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,0,Idosos,0,0,0,1,70356.0,1706
151,Graduate,23228.0,1,0,> 3 Meses,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,0,Adultos,1,1,0,2,11614.0,121
152,Postgraduate,74165.0,0,0,1 Mes,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,0,Meia-idade,0,0,0,1,74165.0,1293
153,Graduate,43482.0,2,1,3 Meses,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,0,Meia-idade,3,1,1,5,8696.4,88
154,Graduate,62551.0,0,0,1 Mes,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,1,Idosos,0,0,0,1,62551.0,421
155,Graduate,52332.0,0,0,3 Meses,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,1,Idosos,0,0,0,1,52332.0,259
156,Graduate,66951.0,0,0,2 Meses,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,0,Adultos,0,0,1,2,33475.5,1117
157,Graduate,26091.0,1,1,3 Meses,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,0,Idosos,2,1,1,4,6522.75,89
158,Graduate,33456.0,1,1,2 Meses,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,0,Meia-idade,2,1,1,4,8364.0,36
159,Graduate,28718.0,1,0,3 Meses,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,0,Adultos,1,1,0,2,14359.0,57
160,Graduate,50447.0,2,0,1 Mes,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,0,Meia-idade,2,1,0,3,16815.666666666668,148
161,Postgraduate,53537.0,1,1,1 Mes,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,0,Idosos,2,1,1,4,13384.25,93
162,Graduate,52074.0,0,1,3 Meses,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,1,Meia-idade,1,1,1,3,17358.0,119
163,Postgraduate,80427.0,0,1,2 Meses,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,0,Meia-idade,1,1,0,2,40213.5,1835
